names,projections,bmin,bmax,islog,p0
kMAPIA,,0.0034673685,0.34673685,1,0.0264759576684901
kPIAPA,,0.0000794328,0.01995262,1,0.000530804439136736
dPA,,0.00001,0.01,1,2.35406287031363e-05
VMAX,,0.031622777,10,1,1.03992656464568
ARA,,6.088,6.088,1,6.088
ARAN,,0.1023292992,12.58925412,1,0.871976834172869
kfGASG5,0,0.001,0.079432823,1,0.00860251161211955
kbGASG5,0,0.01,7.94328235,1,0.0887884937673859
Km,,1.584893192,100,1,32.9699083869859
bA,,0.00001,0.001,1,0.000163029391216363
CasConcaseF,,6000,7000,1,4381.08912932780
dmRNAcaseF,,0.001,316.227766,1,25.9062775273541
kfSGCASsg5,0,0.001,0.1,1,0.00269630902617285
kbSGCASsg5,0,0.01,0.794328235,1,0.348983244249224
kMC5,0,0.1479108388,14.79108388,1,0.989696245309809
